timestamp,cmd_v,cmd_w
1739998152865489750,1.0,0.0
1739998152890450017,0.0,0.0
1739998152890486270,1.0,0.0
1739998152919439487,0.0,0.0
1739998152919469347,1.0,0.0
1739998152953374805,0.0,0.0
1739998152953416546,1.0,0.0
1739998152979568057,0.0,0.0
1739998152979607927,1.0,0.0
1739998153009556035,0.0,0.0
1739998153009588030,1.0,0.0
1739998153043537945,0.0,0.0
1739998153043577471,1.0,0.0
1739998153070962158,0.0,0.0
1739998153070993958,1.0,0.0
1739998153106143747,0.0,0.0
1739998153106173364,1.0,0.0
1739998153138907209,0.0,0.0
1739998153138942086,1.0,0.0
1739998153165679595,0.0,0.0
1739998153165690877,1.0,0.0
1739998153202588627,0.0,0.0
1739998153202617604,1.0,0.0
1739998153226147996,0.0,0.0
1739998153226177254,1.0,0.0
1739998153261009026,0.0,0.0
1739998153261039050,1.0,0.0
1739998153284896695,0.0,0.0
1739998153284937049,1.0,0.0
1739998153314774928,0.0,0.0
1739998153314804976,1.0,0.0
1739998153349993562,0.0,0.0
1739998153350036057,1.0,0.0
1739998153375774935,0.0,0.0
1739998153375812962,1.0,0.0
1739998153406004024,0.0,0.0
1739998153406037500,1.0,0.0
1739998153439843797,0.0,0.0
1739998153439895405,1.0,0.0
1739998153468177312,0.0,0.0
1739998153468206178,1.0,0.0
1739998153502891801,0.0,0.0
1739998153502923765,1.0,0.0
1739998153538789449,0.0,0.0
1739998153538820537,1.0,0.0
1739998153561406534,0.0,0.0
1739998153561443194,1.0,0.0
1739998153589888649,0.0,0.0
1739998153589922599,1.0,0.0
1739998153623595944,0.0,0.0
1739998153623628142,1.0,0.0
1739998153649656598,0.0,0.0
1739998153649686398,1.0,0.0
1739998153683831157,0.0,0.0
1739998153683855057,1.0,0.0
1739998153710119927,0.0,0.0
1739998153710151216,1.0,0.0
1739998153746746485,0.0,0.0
1739998153746779491,1.0,0.0
1739998153770830216,0.0,0.0
1739998153770862805,1.0,0.0
1739998153804862725,0.0,0.0
1739998153804893467,1.0,0.0
1739998153831567851,0.0,0.0
1739998153831628968,1.0,0.0
1739998153864812179,0.0,0.0
1739998153864849696,1.0,0.0
1739998153891507030,0.0,0.0
1739998153891538623,1.0,0.0
1739998153921987197,0.0,0.0
1739998153922020069,1.0,0.0
1739998153956374308,0.0,0.0
1739998153956403604,1.0,0.0
1739998153983917181,0.0,0.0
1739998153983954039,1.0,0.0
1739998154012418717,0.0,0.0
1739998154012457437,1.0,0.0
