local_goals_x,local_goals_y
-3.190108494213168,-2.8446547366777923
-3.266980226411699,-2.896496749304648
-3.3090703842569296,-2.9896430481389564
-3.360865609449013,-3.072143575795501
-3.445207468223265,-3.1240048331165307
-3.497046604343764,-3.2091960908660258
-3.5513332139044467,-3.2911212402303187
-3.596875266513582,-3.37930271495558
-3.6179726849633753,-3.476834428691386
-3.578807511799818,-3.566884759448657
-3.511100255707364,-3.639950075245463
-3.432914639320215,-3.702061817216999
-3.342641246711869,-3.7458047406886905
-3.2432771594257237,-3.766636445991719
-3.151702155806128,-3.8011896794033873
-3.0726957201789515,-3.8622755335692576
-3.0094065101515515,-3.938561467324089
-2.9592985531672062,-4.026578429474249
-2.8878225826913337,-4.089311542356133
-2.7911667494234407,-4.111019656337936
-2.7054339429964225,-4.1599924506579535
-2.6413912597154576,-4.237145641632316
-2.56741480078203,-4.303929417725165
-2.5058469905418845,-4.382240669150535
-2.4363773485036906,-4.455497789472749
-2.400808716129537,-4.547460704104932
-2.3767128949277563,-4.641734118846675
-2.355074255874042,-4.739264754656761
-2.3783129472317657,-4.835541667656665
-2.408727909003804,-4.9301395818418365
-2.431483084317899,-5.0302290803919645
-2.457451465598373,-5.126002747727172
-2.5022815229507445,-5.209771603971047
-2.6034227638512117,-5.208580619478452
-2.6973843636839616,-5.22763682661186
-2.793065050229649,-5.260548957118527
-2.89206617291368,-5.2599870386023335
-2.9909636030733227,-5.249777232753655
-3.094250845200534,-5.244479923206159
-3.1922341105166603,-5.253630334617642
-3.2775177368650663,-5.298140809554653
-3.3231297857799005,-5.386389072182563
-3.353322119536557,-5.485337145416616
-3.405477000051351,-5.564660010106873
-3.4876342724617664,-5.623258050257315
-3.586402440706887,-5.62786073815175
-3.666250585736364,-5.572367903732373
-3.740240917904099,-5.504185941548986
-3.809893915791261,-5.436470427223367
-3.825668532963444,-5.341419920735352
-3.783269048987444,-5.248895060616901
-3.729460654172195,-5.169074519557244
-3.7038153710170407,-5.071962527098395
-3.691614677864131,-4.972966423976058
-3.687037009579708,-4.87137212574318
-3.687857243279984,-4.779812140257927
-3.77683403117164,-4.733086658566283
-3.849153066391073,-4.665161206641466
-3.880103380949122,-4.572649501216343
-3.876543671894676,-4.472972848344944
-3.832860048754567,-4.381941459815705
-3.794688226595903,-4.289302374673349
-3.7557694477501,-4.197984436788024
-3.709379634866056,-4.111467004881956
-3.710345561681863,-4.014331679013843
-3.726357455175115,-3.916329944514581
-3.782693665958656,-3.833243872031807
-3.837089379228612,-3.750015693165086
-3.913104965066205,-3.687469708928921
-3.978224752523397,-3.609462170296716
-4.060693864181951,-3.551271712685333
-4.147961053810447,-3.5067660689110287
-4.214698080222074,-3.4331935653091734
-4.268837977145408,-3.34905137077765
-4.33635904385359,-3.273362332434445
-4.40730652406221,-3.2047212037698083
-4.4658636825728815,-3.122627176733628
-4.517970852236617,-3.037423892438353
-4.583455370519699,-2.963359524934423
-4.647736572425927,-2.88803910648328
-4.702332979697941,-2.806403162886286
-4.7436082414830105,-2.7159893725469164
-4.757047534216828,-2.6172563936929967
-4.753411500757487,-2.5142459381518685
-4.745079285020099,-2.416672254111554
-4.731404542284556,-2.3156062959470978
-4.736693011611579,-2.221930885403097
-4.8005006533809125,-2.14593645592354
-4.88130044277831,-2.0851323060449367
-4.949683198307563,-2.0152640253653504
-5.030655782366545,-1.9567110839412596
-5.106672281779848,-1.888377385066465
-5.1695683102962855,-1.8114312623176403
-5.214513958613464,-1.72568614082483
-5.2746684853624135,-1.6466343173613829
-5.362000487527334,-1.5960143912298754
-5.446191562951489,-1.5481557945560296
-5.504123640261166,-1.4675325183704977
-5.549531242063435,-1.3768438103731413
-5.5616804291768265,-1.2785435986993303
-5.549114373346789,-1.1788351060466602
-5.543383320870046,-1.0805819282399096
-5.553325833070391,-0.9813763450696744
-5.502489943288412,-0.8946705071841523
-5.425369438767368,-0.8311535194525523
-5.337508409547662,-0.7899677240965094
-5.237807907793923,-0.7861763864636105
-5.148510116193822,-0.8251386251396065
-5.081747871167727,-0.8994316783227887
-5.0209029124381095,-0.9778380621927412
-4.975228050214259,-1.0685845220410088
-4.945201424732691,-1.163110863073464
-4.914478293733633,-1.2550263630657543
-4.911165010839847,-1.3573082681550497
-4.94005607514813,-1.4501505538267168
-5.0193665851235485,-1.5111692583666232
-5.10023544415483,-1.5681521474976736
-5.159259961361429,-1.64711562140624
-5.184996773245929,-1.7435443113075584
-5.178925470051527,-1.8429613302876444
-5.164112700893642,-1.9413138578239988
-5.105199568421827,-2.00703623164643
-5.007622805648309,-1.9796905606007087
-4.907436471533668,-1.9711361222367256
-4.81069457438864,-1.951639375371843
-4.7121773494696,-1.9509569349743885
-4.6112457904057065,-1.9423073537121016
-4.514708630146103,-1.956622330135153
-4.429442559463276,-2.007049523966517
-4.333029850695277,-2.031921462113888
-4.23929923970706,-2.0528564690406474
-4.152708116419333,-2.09961515811031
-4.0533246858052525,-2.1050462598431867
-3.958246976341728,-2.073718874882539
-3.862566881675047,-2.056823976061428
-3.7623953049304233,-2.0679600640894877
-3.678724352696045,-2.024670056090144
-3.672785884423518,-1.928196194881256
-3.701109119448816,-1.834408969647001
-3.7469634487700607,-1.7438665770986683
-3.7997509090931456,-1.660908440836427
-3.857426761023894,-1.579324568662699
-3.893982405083767,-1.4858014814494869
-3.924093593906284,-1.391482525522556
-3.9975168542773214,-1.3267623979977845
-4.076255856020543,-1.2699031415112771
-4.152275396919273,-1.205747068081641
-4.244154992584357,-1.166618405597129
-4.343065378871377,-1.144840057885732
-4.43508513663865,-1.1153021781892665
-4.533854014798797,-1.1225392676668615
-4.612700978697636,-1.1791638502335136
-4.653164792307329,-1.2706841233836212
-4.698547987081816,-1.3584748483658744
-4.731627581916705,-1.4516913981395714
-4.700026155922239,-1.5456412381269702
-4.674436060217407,-1.64591905685615
-4.651186794868238,-1.7399898062051653
-4.600814382759892,-1.826140816589378
-4.568151345126073,-1.9194418632974044
-4.564186912646568,-2.020656064054156
-4.595622254081823,-2.1130453902965183
-4.597749589970159,-2.2151799408601733
-4.561664313667961,-2.304685412158895
-4.507518855671636,-2.389836055321788
-4.482524939939238,-2.484730236850304
-4.473948290181524,-2.5845073102299345
-4.496019630314023,-2.680461595435476
-4.504026557216741,-2.779076030575755
-4.468067500123724,-2.8714642667819543
-4.392472177316862,-2.9394762323131225
-4.316614409038244,-3.005929586639384
-4.2370722262168,-3.065250236434341
-4.166017544820803,-3.1296934292933094
-4.111021256310004,-3.216581562071156
-4.060249285795528,-3.2988349367741105
-4.087928806310852,-3.3946065422780363
-4.14113814826713,-3.4769549843971874
-4.235396454192643,-3.509347948145787
-4.331932752387099,-3.5381051184219405
-4.422932934103351,-3.5727324110378347
-4.513879115841841,-3.53840947850245
-4.594028802312005,-3.4743127956103104
-4.660507757935357,-3.4057254282971923
-4.762286477381327,-3.38901952595975
-4.858516747288606,-3.3782572775897712
-4.952879318955741,-3.347122088361719
-5.030050474092389,-3.288910335157319
-5.044431773748769,-3.1921233544437166
-5.0325381644037135,-3.090000670952866
-4.993715700946648,-2.999794692649158
-4.937396270202356,-2.914827742273334
-4.883705417472879,-2.8346019460217864
-4.830047227998395,-2.751662816119348
-4.819629909378752,-2.651629511825004
-4.830561046255716,-2.5506020046848312
-4.852879276670672,-2.4538561117833257
-4.880140812015348,-2.3582655965314605
-4.887232038682552,-2.2601494544808305
-4.892045443497186,-2.159562246165225
-4.902696374209212,-2.059640175497673
-4.895376558680704,-1.9615751467083384
-4.870947348651796,-1.862935414342697
-4.843447682343155,-1.7681138726392371
-4.8296520688455695,-1.6702054308952223
-4.794456045380235,-1.5757095358598685
-4.762066920757731,-1.482661367654138
-4.725225789776181,-1.387937217149173
-4.671889322485971,-1.3053118937438404
-4.582376420221849,-1.2705368753883064
-4.48374230212738,-1.2771600574679227
-4.384344541148633,-1.2590614950638406
-4.285877794893429,-1.2456109898251553
-4.186532162158284,-1.2482683316860592
-4.086849688126106,-1.2631471825008824
-3.989580474124084,-1.2807161528811066
-3.89087350273541,-1.256172847902139
-3.7940376397859215,-1.2389346075750265
-3.6955219299540425,-1.2396455947738725
-3.60411238051284,-1.270060323925917
-3.533547454303535,-1.3427246231427346
-3.4552035533705983,-1.3998038090044762
-3.390895954434384,-1.4798633442605018
-3.332004349338132,-1.5610943958037895
-3.264166638027426,-1.629794540178889
-3.209295475609165,-1.711804336047157
-3.19467978086808,-1.8111128381375936
-3.159802332905892,-1.9056712962064892
-3.1008885685544105,-1.98810654285448
-3.050708312256104,-2.0724889219686444
-3.0357509313948072,-2.169029279886594
-3.0758253989754927,-2.261269223978871
-3.12429139521687,-2.3464378744976635
-3.1553754957709765,-2.441542999820466
-3.145824416473693,-2.538319652452404
-3.090076504853267,-2.622632457996544
-3.0358603316280246,-2.705164917683787
-2.9797929534376184,-2.7872202072965093
-2.930114342006789,-2.8754845152323902
-2.900748189668524,-2.970011824027197
-2.855855701175003,-3.06104057035136
-2.818941563912486,-3.149939448656497
-2.7551444631019693,-3.226044181019059
-2.6627036988459376,-3.2641525365161224
-2.5652356154196685,-3.2889805139624304
-2.4721271287102438,-3.3213786830711016
-2.3745532204063795,-3.3284445544326826
-2.28824048564269,-3.2789060686037605
-2.203274944629493,-3.2225598123888064
-2.1262642425931526,-3.162860471766787
-2.065519339111241,-3.082009997938876
-2.038517534843164,-2.9887793129084645
-2.027409632512875,-2.887697637157589
-2.0353363334891266,-2.789711321023711
-2.079815227386809,-2.702737554313757
-2.1506125727712453,-2.6324793443257084
-2.209169748508004,-2.549850846636847
-2.240436117362381,-2.4558860337706614
-2.2730454075341413,-2.359289107660034
-2.3268653445575764,-2.278078509709386
-2.389223343852643,-2.2006829916233217
-2.4669540207410763,-2.142192905384797
-2.5445687326369337,-2.0832997871024794
-2.606718381066125,-2.002001045630224
-2.6699763823449474,-1.9286692133021417
-2.7499124835380724,-1.8754270041401624
-2.841779394433253,-1.83684163592918
-2.94236440125512,-1.844690975346008
